"","DS_P12A_1","DS_P12B_1","DS_P12C_1"
"949","armaxon de marcos","atencin publivo","marqueria"
"950","pescador","pescador",NA
"951","asistente de educacion","cuidado  de noÒos  en recreo","colegio particular subvenvionado"
"952",NA,NA,NA
"953","arrienda piezas",NA,NA
"954","trabaja en una pasteleri≠a","hacer resposteria t atencion de pi∫blico","pasteleri≠a"
"955","jornal","construccion","se dedica a la construccion"
"956","administracion","asistente","escuela"
"957","ejecutiva bancaria","ejecutiva bancaria","ejecutiva bancaria"
"958",NA,NA,NA
"959","profesor","docencia","educar"
"960","contadora","registros de libros","caja,libro diario,libro mayor y balance"
"961","hostal","tender , aseo, limpiar","alojamiento  pasajeros"
"962","vededora","vender","oftamoogia"
"963","operaria","obrera","fca textil"
"964","arquitecto","inspeccion de obras","construccion"
"965","locutera","locutora","radio"
"966","contratista agricola","contratar personas para faenas agricolas","labores agricolas"
"967","ayudante de mecanica",NA,NA
"968","comercio independiente","comercio independiente","comerciante"
"969","funcionaria de hospital","atencion publico","hospital regional talca"
"970","comerciante verduras","feriantes fruta","comercio venta de frutas"
"971","sicologa","intervencion clinica","educacion"
"972","profesora","en colegio pi∫blico y privado","educacion"
"973","administracion","administrar un negocio de arriendo de equipos de oficinas","servicios logisticos"
"974","raleo cosecha en un fundo","raleo cosecha","empresa agri≠cola"
"975","vendi≠a colaciones a domicilio","cocinar y vender las colaciones","venta de colaciones"
"976",NA,NA,NA
"977","va planchar a domicilio","plancha","casa particular"
"978","enfermera","admisnacion",NA
"979","trabajo en un laboratorio","limpiar artefactos",NA
"980","bodega","trasporta en palet la metcaderia","supermercado"
"981","taxista","transporte de pasajeros","transporte"
"982","seleccionadora de fruta","seleccionar la fruta en conserva","empresa agri≠cola"
"983","odontologa","el cuidado de los dientes",NA
"984","exportadora de semillas","exportaba semillas","asistente de departamento comercio exterior"
"985","cajera","recibido pago","carniceria"
"986",NA,NA,NA
"987",NA,NA,NA
"988","garzona",NA,NA
"989","empleado","trabajador","privada"
"990","gestion de ptogectos",NA,NA
"991","cuidar y barrer parques y jardines","regar y barrer plazas","municipalidad"
"992","profesora","enseÒsr","colegio"
"993","conserge","conserge","oficina de seguridad"
"994","mecanico","mecanica genera","taller mecanico"
"995","singuerista","singuerista","consturas en la casa"
"996","vendedora","vendedora de seguros",NA
"997","operario de maquinaria","operario de maquinaria","ventanas aluminio"
"998","costurera","hacer arreglos a la ropa","confeccion"
"999","empleado","empleado","publicado ca"
"1000","encargada de postres en una pasteleria","hacer pasteles postres","supermercado"
"1001",NA,NA,NA
"1002","fuerza aerea",NA,NA
"1003","comerciante","vender abarrotes","comerciante"
"1004","cyidadora de niÒos","cuidar niÒos","independiente"
"1005","contador auditor","calcular impuesyos confeccionar balances","mineri≠a"
"1006","comerciantes","comerciante","dueÒa local comerciante"
"1007","bodeguero","entregar frutos","empresa de frutos secos"
"1008","jefe de proyectos","gestion","fines sociales"
"1009","publicidad ketrero mantencikn",NA,NA
"1010","bodeguero","entregar mercaderia","libreria"
"1011",NA,NA,NA
"1012","estructura metalicas","trabajar en la construccion","construccion"
"1013","temporero",NA,NA
"1014","vende","vendedora","feria libre"
"1015","carpinteria",NA,NA
"1016","agricultor","campo","parcels"
"1017","chofer","chofer","camiones"
"1018","ventas","ventas","comercio"
"1019","taller de confeccion","confeccuon en controk de calidad","tallet de vonfecciin"
"1020","tempore de fruta","cosechar frutas","fruticula"
"1021",NA,NA,NA
"1022","auxiliar de aseo","hacer aseo en hotel","mineri≠a"
"1023","cacuno","ayydante de vocina","sodexso"
"1024","agricultura","siembra casecha y crianza animales de corral","agricultura de subsistencia"
"1025","normalista","profesora normalista","escuela publica"
"1026","arquitecto",NA,NA
"1027","administrar mi empresa","administrar mi empresa","desarrollo de sistemas"
"1028","atiende negocio","organizo, vende en ferreteria","venta de fierros y toda indole de material"
"1029","cosecha para los patrones","cosecha y siembra","fundo de patrones"
"1030","asistente pi∫blico","asisti≠a al pi∫blico que llegaba a la oficina, orientacion","asistencia social"
"1031","ventas","venta ropa","venta ropa"
"1032","aseadora","limpiar, ordenar",NA
"1033","comerciante gastronomi≠a","administracion","gastronomi≠a"
"1034","despachador de camiones","verificar antecedentes del camion","aseo y transporte"
"1035",NA,NA,NA
"1036","operario lavanderi≠a","lavar y planchar","lavanderi≠a"
"1037","cocina","hamburguesas","restaurantes"
"1038","empleado de la hipica","mantencion","carreras de caballos"
"1039","supervisor mineri≠a","dirigir equipos de trabajo","mineri≠a"
"1040","duseÒadora",NA,NA
"1041",NA,NA,NA
"1042","ckases",NA,NA
"1043",NA,NA,NA
"1044",NA,NA,NA
"1045","taller de publicidad","administrar el taller y es  dueÒo","hacer y crear publicidad"
"1046","conserje","conserje de edificio","a conserje"
"1047","salud",NA,NA
"1048",NA,NA,NA
"1049",NA,NA,NA
"1050","supervisor transportes","despachador de carga","transporte"
"1051","asesora del hogar","labores domesticas","casa particular"
"1052",NA,NA,NA
"1053",NA,NA,NA
"1054",NA,NA,NA
"1055","comerciante",NA,NA
"1056",NA,NA,NA
"1057","dirigir personal",NA,NA
"1058",NA,NA,NA
"1059","operador geologi≠a","mantener maquinaria minera","geologi≠a"
"1060","ventas",NA,NA
"1061",NA,NA,NA
"1062","operaria","maquinaria","fabrica de textu"
"1063","hace costuras, empanadas","costuras y empanadas","independiente"
"1064",NA,NA,NA
"1065","manipuladora alimentos","cocina","hospital de cabildo"
"1066","profesora","hacer claces","escuela"
"1067",NA,NA,NA
"1068","campo","agricola","parcela"
"1069","tec.paramedico","atender pacientes","salud"
"1070",NA,NA,NA
"1071","seleccionadora",NA,NA
"1072","soldadura",NA,NA
"1073","mantenvion gas","suprrvisor","suprrvisor"
"1074","entrenador muros","enyesar paredes","construccion"
"1075","venta de ropa una vutic","ayudar y orientar a la gente","venta de ropa butic"
"1076","soldador","soldador industrial","minera"
"1077","asesora del hogar","asesora de hogar",NA
"1078","asesora de hogar","cocinar limpisr","hogar casa particular"
"1079","sou mueblista diseÒo","diseÒo mieble","diseÒo muenle"
"1080","supervisora terreno empresa seguridad imdustrial","supervisar","seguridad industrial"
"1081","operaria","operaria","bodegas"
"1082","ejecutiva cuenta","llevar la cartera clientes","financiera"
"1083","asesora del hogar","hacer aseo en casas particulares",NA
"1084","chofer","chofer","transporte de pasajeros"
"1085","trabajo en un supermercado","reponer arreglara dodega y productos","venta de alimentos para la familia"
"1086","riego automatico","encargado del riego automatico","agri≠cola fruti≠cola"
"1087","mecanico motores diesel","mecanico","dueno maestranza"
"1088","vendedira","vendedora","local comercial"
"1089","asesora del hogar","limpiar cocinar","casa particular"
"1090","soldador","soldaduta hierro","hierro"
"1091",NA,NA,NA
"1092",NA,NA,NA
"1093","profesora","profesora","escuela"
"1094","temporera","cortar o cosechar uva","agricultura"
"1095","agricultura","parcela","parcela"
"1096","panificador","hacer pan","panaderia"
"1097","ingeniero marketing","ingeniero marketing","ingeniero marketing"
"1098","aseo","asesora","monasterio"
"1099","chofer","chofer","termoelectrica"
"1100","educadora de parvulos","educar","colegio educacion"
"1101","chofer","chofer","colectivo"
"1102","encargada centro mediacion","encargada de centro mediacion","municipio"
"1103","terapias alternativas","imanes y masajes","terapeuta"
"1104","construccion","yeso","constructora"
"1105",NA,"estucar, obrero calificado",NA
"1106","vendedora tienda","television venta","tienda"
"1107","asistente administrativo","trabajo administrativo","inmobiliaria"
"1108",NA,NA,NA
"1109",NA,NA,NA
"1110",NA,NA,NA
"1111",NA,NA,NA
"1112",NA,NA,NA
"1113",NA,NA,NA
"1114",NA,NA,NA
"1115","aseo","aseo","jardi≠n infantil fantil"
"1116","operaria","envases","conservera"
"1117","asesoea","aseo",NA
"1118",NA,NA,NA
"1119","operario","operario de produccion","bodega de alimentos"
"1120","comercio","ventas","ambulate"
"1121","obrero","obrero","construccion vivenda"
"1122",NA,NA,NA
"1123",NA,NA,NA
"1124","aseo de la vestimenta","lavar uniformes de los cocineros","alimentacion"
"1125","maestra de cocina","preparar alimentos para un restorant","gastronomi≠a"
"1126","obrero","colocando caÒeri≠as","constructora"
"1127","construccion","carpinteri≠a y albaÒil","constructora"
"1128",NA,NA,NA
"1129","peluquera","peinar","peluqueria"
"1130",NA,NA,NA
"1131","planificacion","nuevos negocios","ing electrica"
"1132","encargada nacional de un programa social","encargada nacional de un programa social","servicio nacional de la mujer"
"1133",NA,NA,NA
"1134","tecnico paramedico","atender pacientes","hospital"
"1135","contador","contador","eduacion"
"1136","vendedora","vender publicidad","medios de comunicacion"
"1137","secretaria","secretaria","agencia de viajes"
"1138","ventas","atencion publico","comercio"
"1139","comerciante","vendedor verduras","comercio"
"1140",NA,NA,NA
"1141","vendedor","atender  y reponer","comercio"
"1142","ingeniero civil","director de proyectos",NA
"1143","bordadora","bordar","costuras"
"1144","instalacion de vidrio automotriz","maestro instalaciones administracion del negocio","automotriz"
"1145","ayudante repartidor de pan","bajar el pan a los negocios","panaderia"
"1146","secretaria pos venta","acojer los reclamos de los clientes gestionar agenda de repacion","automotora"
"1147","mecanico","mantenimiento de tunel","empresa"
"1148","empleado","mantencion","metalurgica"
"1149","asesora","aseo","asesora"
"1150","administrativo",NA,NA
"1151","arquitectura y construccion","dueÒa y supervisora del diseÒo, supervicion de obra y control","construccion"
"1152","corredor de propiedades","vender casa o departamento","venta de propiedades"
"1153","gerente de ventas","vender aumentar las ventas","fabrica de plasticos"
"1154","pintor","pintar casas","pinturas de hogar"
"1155","reponedora en un supermercado","reponer la mercaderi≠a que me indican","empresa de supermercado venta de alimentos"
"1156","empresario","agencia de marketing digital",NA
"1157","superv8sor en supermercado","supervision de personal","supervisaba personal"
"1158","atencion de pi∫blico tienda de riteil","atencion de pi∫blico,atender a las necesidades de los clientes","multitienda venta de ropa, vestuarios, electrodomesticos de todo"
"1159","taller agricultura","venta herramientas","taller"
"1160",NA,NA,NA
"1161","trabajan en.un.departamento de finanzas","revisa movimiento financiero","en la salid"
"1162",NA,NA,"importacion y distribucion de ceramicas y otros materiales similares"
"1163","tecnico paramedico","atencion de oacientes","hospital"
"1164","asesora del hogar","hacer aseo en una vivienda","hacer aseo"
"1165","aseo","aseo","exportacion de ostion"
"1166",NA,NA,NA
"1167","vendedor","vender ordenar","vender al caliente"
"1168",NA,NA,NA
"1169","hacer sobres","hacer y doblar",NA
"1170","docente","docente","docente"
"1171","a cargo de lavanderi≠a","entrega la ropa","lleva ropa"
"1172","manupuladora de alumrntos","cocinar","sala cuna y jardin infantil"
"1173","distribuidora de alimentos","vender","alimentacion"
"1174","sicologo",NA,NA
"1175","marino mercantil","ayudante de maquinaria","naviera"
"1176","asesora del hogar","lavar cocinar limpiar","casa particular"
"1177",NA,NA,NA
"1178",NA,NA,NA
"1179","en casa particular","aseo y cosinar","casa particular"
"1180","secretaria","organizar documentos","lavanderia"
"1181","trabajo agri≠cola cosecha de fruta","cosecha de fruta","empresa agri≠cola"
"1182","aseo","asesora","casa particular"
"1183","administrativo","ver archivos, ordenar cuentas","mari≠timo comercio"
"1184","sicopedagoga","sicopedagoga","independiente"
"1185","emfermera","cuidar y atender a pacientes","hospital"
"1186","cuidadoras de niÒos","cuidar alimentar y educar a niÒos",NA
"1187","ventas de productos  en la calle","vender",NA
"1188","costurera",NA,NA
"1189","manipuladora de alimentos","cocinar","alimenta en la escuela"
"1190",NA,NA,NA
"1191",NA,NA,NA
"1192",NA,NA,NA
"1193",NA,"carpintero",NA
"1194",NA,NA,NA
"1195","cajera","recibir pagos","restobar"
"1196",NA,NA,NA
"1197","maestro cocina","cocina","entrega servicio de alimentacion"
"1198",NA,NA,NA
"1199","jefa bodega","jefa bodega",NA
"1200",NA,NA,NA
"1201",NA,NA,NA
"1202",NA,NA,NA
"1203","huerto de arandano","en la cosecha de la fruta","agricultura"
"1204","trabajo com niÒos","subvencion en un colegio","educacion"
"1205",NA,NA,NA
"1206","administrativo","trabajoa de oficina",NA
"1207","informatica","servidores web",NA
"1208",NA,NA,NA
"1209",NA,NA,NA
"1210",NA,NA,NA
"1211","vende ropa usada","vende ropa",NA
"1212","estudia un posgrado de ingenieri≠a  en  universidad catolica trabajo en el pasado de profesor de geografia",NA,NA
"1213",NA,NA,NA
"1214","subgerente","entregar educacion","educacion"
"1215",NA,NA,NA
"1216","tecnico en parbulo","enseÒar a los alumnos","educar"
"1217","guardia de seguridad","locales de ventas de ropa","prestan seguridad"
"1218","administratuvo","srvicio al cliente",NA
"1219","aseo en empresas","aseo","aseo"
"1220",NA,NA,NA
"1221","l9gistica administrativo","administrar preocuparse de distribucion  y orden de elementos","logistica"
"1222",NA,NA,NA
"1223","almacen vents","atender y adminidtrar negovio","vender abarrote"
"1224","chofer","!anejar","vende gas abastiblw"
"1225","maestro albaÒil","maestro albaÒil","empresa constructora"
"1226","area comervio feria","venta de ptoductocomercio","venta"
"1227","aseo de casa","limpiar casa","limpiesa de casapsrticular"
"1228","centro estetica","nasaje",NA
"1229","vendedor","vendedor",NA
"1230","administrativo","administrativo",NA
"1231","enfermera","ayudante de pabellon","clinica"
"1232","casa particular","casa particular","casa particular"
"1233","secretario","administrativa","administrativa"
"1234","aasistente de abogado","llevar documentos a loa juzgados","abogado"
"1235","asesora del hogar",NA,NA
"1236","paramedico","arcenalera","mutual de la seguridad asich"
"1237",NA,NA,NA
"1238",NA,NA,NA
"1239",NA,NA,NA
"1240","secretaria funcionaria publica","llevar documentos","administra un departsmento hobierno"
"1241","vende en la feria","vender","comercio"
"1242","comerciante","vender abarrotes","comercio"
"1243",NA,NA,NA
"1244","construccion","contruir",NA
"1245","ejecutivo de ventas","ventas","vemtas"
"1246",NA,NA,NA
"1247","vende ropa usada en la feria","venta de ropa","venta en la feria"
"1248","secretaria ejecutiva",NA,NA
"1249",NA,NA,NA
"1250","administrativo","administrativo",NA
"1251","asesora delmhogar","aseo",NA
"1252","independiente","independiente","armado de bolsas"
"1253","servicio domestico","hacer comida y lavado","labores de casa e. domicilio particular"
"1254","operario de calzado","operario","calzado fabricar"
"1255",NA,NA,NA
"1256","operador de conectividad","intelador de tv clave",NA
"1257","manipuladora de alimentos","cocinar","colegio"
"1258",NA,NA,NA
"1259","contador auditor","contador",NA
"1260","cesante antes contruccion","contruccion",NA
"1261","tecnico profesional","tecnico profesional","empresa tecnologia"
"1262","guardia","guardia","empresa de guardia"
"1263","temporera agricola","sacar manzanas cosecha de uvas y arandanos","venta de exportacion de frutas"
"1264","director de colegio","administrar dirigir en un colegio que tenia 3400 alumnos","colegio"
"1265",NA,NA,NA
"1266","asistente de enfermos","trabajo en la parte de enfermetia y cuidar a los enfermos y adiultos","convento las hermanas de maria"
"1267","independiente","independiente","zapatero"
"1268",NA,NA,NA
"1269",NA,NA,NA
"1270",NA,NA,NA
"1271","bombero o extractor de agua en excavaciones","extractor de agua","constructora"
"1272","operaria","limpiar estampados","fabrica de etwuetas"
"1273","administrativa","administrativa","retail"
"1274","profesora","profesora","profesora"
"1275",NA,NA,NA
"1276","tecnico paramedico","atencion publico area salud","hospitaluzacion domicilisria"
"1277","cajera","caja",NA
"1278","jornal","ayudante obras","ckntruccion"
"1279","comerciante","venddr","mi negocio"
"1280","obrero construccion",NA,NA
"1281","vendedora de joyas","ventas","venta joyas"
"1282",NA,NA,NA
"1283","contralor",NA,NA
"1284","comerciante","vendedor articulos electronicks","ventas"
"1285","parvularia","cuidar  y eeucar los niÒos del jardi≠n infantil","jardi≠n infantil"
"1286","obrera en la cocacola","empaque","venta de bebidas"
"1287",NA,NA,NA
"1288","fotografo","aacr foto",NA
"1289","obrero de la construccion","construccion","obrero de la construccion"
"1290","operador de maquinaria","operador de maquinaria","operador de maquinaria"
"1291",NA,NA,NA
"1292",NA,NA,NA
"1293","auxiliar de apoyo","auxiliar de apoyo","cli≠nica"
"1294","asesora de hogar","asesora de hogar","casa particular"
"1295",NA,NA,NA
"1296",NA,NA,NA
"1297","juea","rwaolver  jusgado",NA
"1298","tiene negocio",NA,NA
"1299","batman","preparar tragos","restauran"
"1300","asesora del hogar","hacer aseo",NA
"1301","venta de mangueras hidraulicas","vendo","fabrica las mangeras hidraulicas"
"1302","ayudante de cocina","cocinar","eventos"
"1303","tecnico de laboratorio","vee el proceso de geneticas molecular","instituro de salus publica"
"1304",NA,NA,NA
"1305",NA,NA,NA
"1306",NA,NA,NA
"1307",NA,NA,NA
"1308","casa particular","todo los que hacerse de hogar",NA
"1309","riteil ventas","servicio al cliente","ventas"
"1310","albaÒil","estudiar,hacer radieles","empresa constructora"
"1311","preparaba a las asistentes dentales","enseÒaba y capasitaba al personal","iÅrea dental"
"1312",NA,NA,NA
"1313","tecnico de pos venta","visitas a los medicos","ventas de equipos medicos"
"1314","empleado administrativo","empleado administrativo","empleado administrativo"
"1315","asesora de hogar","asesora de hogar","asesora de hogar"
"1316","construccion","carpintero","construccion"
"1317","administrativo","administrativa","administrativo"
"1318","bodeguero","bodeguero","entregar productos"
"1319",NA,NA,NA
"1320","tecnico en artefactos a gas","reparaba los artefacto","fa vb tocaban los artefactos"
"1321","operador de maquinaria","manejar maquinaria","mineria"
"1322","jefa finanzas","administracion","ferreteri≠a industrial"
"1323","operador","enbalar productos","distribuir repuestos"
"1324","operario","enbazar","repuestis celulares"
"1325",NA,NA,NA
"1326",NA,NA,NA
"1327",NA,NA,NA
"1328",NA,NA,NA
"1329",NA,NA,NA
"1330","supervisora de calle center","supervisar","tranporte"
"1331",NA,NA,NA
"1332","podar.cosechar.supervisar","supervisar .cosechar","empresa agricola"
"1333","vendedora vender","vender","vendi≠a ropa"
"1334",NA,NA,NA
"1335",NA,NA,NA
"1336",NA,NA,NA
"1337",NA,NA,NA
"1338","adm7nustracion de dovumentp","adminidtrar ypresta servicio",NA
"1339","operador gtuda","operador grua","venta matetia consttucciom"
"1340","asesora de hogar",NA,NA
"1341","administrativa","recursos humanos","corporacion educacional"
"1342","vei≠a calidad de alimentos y reponer alimentos","verificar que no faltan productos","vender productos"
"1343","comercio  en la calle","comercio",NA
"1344","trazador en obra","trazador","construvion de efifivio"
"1345","guardia seguridad","guardia seguridad","edificio"
"1346","jefe obra","jefe obra","construcctora"
"1347","tengo almacen","vendo abarrotes",NA
"1348","administrativo","administrar y coordinar y supervisar","veo la parte administrativa en la parte contable"
"1349",NA,NA,NA
"1350","representante tecnico","mantencion de equipos medicos","venta de equipos medicos"
"1351",NA,NA,NA
"1352","tec enfermeri≠a","atender enfermos","salud"
"1353","operador de repuestos","delegar repuestos de mecanico","repuestos automotrices"
"1354",NA,NA,NA
"1355","vendedor de jugueteri≠a","vendedor de juguetes","comercio"
"1356",NA,NA,NA
"1357",NA,NA,NA
"1358","chofer de colectivo","transportar a pasajeros","transporte publico"
"1359",NA,NA,NA
"1360","empresario comercial","gerente general","comercio"
"1361","secretaria de gerencia","revisar y coordinar reuniones","telecomunicaciones"
"1362",NA,NA,NA
"1363","gte operaciones","dirigir maestranza","maestranza"
"1364","obrero fabrica","chofer de camion","fabrica de madera"
"1365","asesora del hogar","que haseres de una casa",NA
"1366","feriante","ventas","vender"
"1367","guardia","cuido supermercado","vende productos"
"1368","aseo","aseo","limpieza"
"1369","calle center","telefonico atencion a clientes",NA
"1370","obrero","maestro de construccion","contructora"
"1371",NA,NA,NA
"1372","vendedoras de menaje","vender menaje de casa y cajera","venta de arti≠culos de menaje de hogar"
"1373","operario produccion",NA,NA
"1374","temporera",NA,NA
"1375","reponedor","reponer en supermercados",NA
"1376",NA,NA,NA
"1377","obrero calificado","construccion","construccion"
"1378",NA,NA,NA
"1379",NA,NA,NA
"1380","paradocente","ayudar a los profesores en el colegio",NA
