;DS_P12A_1;DS_P12B_1;DS_P12C_1;ciuo_cod;ciuo_cod2
954;trabaja en una pasteleri≠a;hacer resposteria t atencion de pi∫blico;pasteleri≠a;;
1237;NA;NA;NA;NA;NA
1238;NA;NA;NA;NA;NA
1239;NA;NA;NA;NA;NA
735;trabaja independiente.vende productos en la calle.;vender artesani≠a en la calle;artesani≠a de ecuador.vende en las calles;;
291;trabajaba como obrero en la construccion;construccion;construccion;;93
532;trabajador agricola;sembrar.. lecheri≠a;fundo agricola;;61
1243;NA;NA;NA;NA;NA
195;trabajadora social;atencion de casos en situacion de bulnerabilidad;colegio;;
1161;trabajan en.un.departamento de finanzas;revisa movimiento financiero;en la salid;;
1246;NA;NA;NA;NA;NA
687;trabajar en agricultura;sacar papas y llenar sacos;NA;;61
429;trabajo agricola;cuida animales,hacer caminos;campo;;61
1249;NA;NA;NA;NA;NA
1181;trabajo agri≠cola cosecha de fruta;cosecha de fruta;empresa agri≠cola;;61
1204;trabajo com niÒos;subvencion en un colegio;educacion;;
979;trabajo en un laboratorio;limpiar artefactos;NA;;
1085;trabajo en un supermercado;reponer arreglara dodega y productos;venta de alimentos para la familia;;
301;trabajos administrativos;computacion;hospital, area salud;;
1255;NA;NA;NA;NA;NA
540;trabo de temporera;NA;NA;;92
777;tractorista;pasa el tractor;NA;;
1258;NA;NA;NA;NA;NA
200;transporte;transporte;transporte;;
423;transporte;varios;transporte;;
669;transporte de pasajeros;chofer;chofer;;
736;transporte publico;transporte pi∫blico;transporte pi∫blico;;
832;transporte publico;conductor;empresa de transporte;;
296;transportista;conductor;transporte;;
1265;NA;NA;NA;NA;NA
12;transportistas;transportistas;transporte;;
1344;trazador en obra;trazador;construvion de efifivio;;
1268;NA;NA;NA;NA;NA
1269;NA;NA;NA;NA;NA
1270;NA;NA;NA;NA;NA
459;tripulante;NA;NA;;
977;va planchar a domicilio;plancha;casa particular;9121;91
962;vededora;vender;oftamoogia;;
1342;vei≠a calidad de alimentos y reponer alimentos;verificar que no faltan productos;vender productos;;
1275;NA;NA;NA;NA;NA
65;vemtas;ventas;vemtas;;
477;vende;vender limones y despachos a supermercados;fabrica a de limones;;
1014;vende;vendedora;feria libre;;
236;vende cosas o verduras;vender verduras;NA;;
1241;vende en la feria;vender;comercio;;
1211;vende ropa usada;vende ropa;NA;;
1282;NA;NA;NA;NA;NA
1247;vende ropa usada en la feria;venta de ropa;venta en la feria;;
917;vende sushi;cocinar y salir a vender;vender sushi en forma independiente;;
1088;vendedira;vendedora;local comercial;;
266;vendedor;vender lentes pp ara optica;iìptica;;
1287;NA;NA;NA;NA;NA
639;vendedor;vendedor de computadoras;NA;;
645;vendedor;NA;NA;;
862;vendedor;atender las ventas de supermercado;NA;;
1291;NA;NA;NA;NA;NA
1292;NA;NA;NA;NA;NA
1141;vendedor;atender  y reponer;comercio;;
1167;vendedor;vender ordenar;vender al caliente;;
1295;NA;NA;NA;NA;NA
1296;NA;NA;NA;NA;NA
1229;vendedor;vendedor;NA;;
948;vendedor de helados;atender clientes;comercial;;
1355;vendedor de jugueteri≠a;vendedor de juguetes;comercio;;
901;vendedor de pan;hacer pan  venderlo;fabricacion de pan;;
369;vendedor de un negocio familiar;vende mercaderia;negocio abarrotes;;
881;vendedor de verduras;vender y atender publico;supermercado eltit;;
14;vendedor en tienda de calzado;vender calzados;fabrica y venta de calzados;;
1304;NA;NA;NA;NA;NA
1305;NA;NA;NA;NA;NA
1306;NA;NA;NA;NA;NA
1307;NA;NA;NA;NA;NA
143;vendedor libreri≠a;atender clientes de libreri≠a;comercio;;
594;vendedor vtr;ofrecer telecomunicaciones;telecomunicaciones;;
325;vendedora;vendedora;tienda de ropa;;
329;vendedora;vender;comercio;;
1312;NA;NA;NA;NA;NA
347;vendedora;vender;grandes tiendas;;
389;vendedora;ventas;locales comerciales;;
448;vendedora;vencedora de ropa;NA;;
695;vendedora;vender;vender reatail;;
699;vendedora;vendi≠a ropa;NA;;
734;vendedora;vendia ropa de todo;NA;;
1319;NA;NA;NA;NA;NA
828;vendedora;vender apublico en general;comerciantes;;
835;vendedora;vendo  en una importadora;todo ll hago en mi trabajo, repongo, limpio y vendo al publico;;
839;vendedora;atender pi∫blico, mantenerla ropa y el local ordenado;vender;;
869;vendedora;vender;tienda;;
911;vendedora;vender a clientes y cobrar;pescaderi≠a;;
1325;NA;NA;NA;NA;NA
1326;NA;NA;NA;NA;NA
1327;NA;NA;NA;NA;NA
1328;NA;NA;NA;NA;NA
1329;NA;NA;NA;NA;NA
921;vendedora;atencion de pi∫blico;NA;;
1331;NA;NA;NA;NA;NA
996;vendedora;vendedora de seguros;NA;;
1136;vendedora;vender publicidad;medios de comunicacion;;
1334;NA;NA;NA;NA;NA
1335;NA;NA;NA;NA;NA
1336;NA;NA;NA;NA;NA
1337;NA;NA;NA;NA;NA
534;vendedora almacen;vender;almacen;;
1281;vendedora de joyas;ventas;venta joyas;;
174;vendedora de libreri≠a;atender clientes;comercio;;
678;vendedora en fabrica de helados;vendedora;fabrica de helados;;
754;vendedora en heladeri≠a;atencion al pi∫blico y ventas;venta de helados;;
756;vendedora en tienda;atender al pi∫blico, vender prendas de ropa y accesorios;venta de ropa en general;;
330;vendedora local de comida de un colegio;vendedora;local comida;;
204;vendedora textil mujer;venta de ropa;NA;;
1106;vendedora tienda;television venta;tienda;;
1333;vendedora vender;vender;vendi≠a ropa;;
1372;vendedoras de menaje;vender menaje de casa y cajera;venta de arti≠culos de menaje de hogar;;
1349;NA;NA;NA;NA;NA
318;vendedores;vender;ventas;;
1351;NA;NA;NA;NA;NA
975;vendi≠a colaciones a domicilio;cocinar y vender las colaciones;venta de colaciones;;
244;vendi≠a ensaladas;vender ensaladas;NA;;
1354;NA;NA;NA;NA;NA
433;vendiendo en feria libre;vendedora de ropa en feria libre;venta libre de ropa;;
1356;NA;NA;NA;NA;NA
1357;NA;NA;NA;NA;NA
82;vendo mermeladas caseras en la feria;preparo y vendo las mermeladas;venta de mermelada;;
1359;NA;NA;NA;NA;NA
696;venta de joyas;vender;NA;;
1301;venta de mangueras hidraulicas;vendo;fabrica las mangeras hidraulicas;;
1362;NA;NA;NA;NA;NA
48;venta de ropa en a feria libres;vender;venta ropa usada en feria libres;;
1075;venta de ropa una vutic;ayudar y orientar a la gente;venta de ropa butic;;
208;ventas;restaurat;subway;;
231;ventas;atencion a publico y ventas;retail;;
237;ventas;vendedor;NA;;
370;ventas;vender gas;negocios;;
372;ventas;vender abarrotes;almacenes;;
1018;ventas;ventas;comercio;;
1371;NA;NA;NA;NA;NA
1031;ventas;venta ropa;venta ropa;;
1060;ventas;NA;NA;;
1138;ventas;atencion publico;comercio;;
1187;ventas de productos  en la calle;vender;NA;;
1376;NA;NA;NA;NA;NA
582;vigilar que no roben que no secuestren niÒos que no le robrn a locatarios;vigilar el correcto funcionamienti del persa, si se ponen a discutir aliviar la dituacion;venta de productos persa estacion;;
1378;NA;NA;NA;NA;NA
1379;NA;NA;NA;NA;NA
289;viveros;en los vivero;en los viveros;;
